Date,Title,Sentiment_Score
2024-03-20,"Who is Mustafa Suleyman, the new AI chief at Microsoft?",
2024-03-22,Microsoft’s $650 million deal with Inflection AI: Key things to know,
2024-03-25,The second coming of the Microsoft antitrust battle?,
2024-03-27,IIT Madras alumnus Pavan Davuluri appointed Microsoft Windows and Surface chief,
2024-03-30,US Congress bans staff use of Microsoft's AI Copilot: report,0.0
2024-03-30,US evaluating risks related to adoption of AI tools by federal agencies,
2024-03-30,US Congress bans staff use of Microsoft's AI Copilot: report,
2024-03-30,Microsoft and OpenAI planning $100 billion data center project: report,
2024-04-01,Microsoft to separate Teams and Office globally amid antitrust scrutiny,
2024-04-01,Microsoft to separate Teams and Office globally amid antitrust scrutiny,0.0
2024-04-03,Cyber board says Chinese hack of US officials was 'preventable',0.0
2024-04-03,Review board to issue report detailing Microsoft's lapses in China hack: report,0.0
2024-04-03,Review board to issue report detailing Microsoft's lapses in China hack: report,
2024-04-03,Cyber board says Chinese hack of US officials was 'preventable',
2024-04-04,"Microsoft, Quantinuum claim breakthrough in quantum computing",
2024-04-04,EU antitrust chief Margrethe Vestager may act if Microsoft's poaching of Inflection staff signals wider trend,
2024-04-04,"Microsoft, Quantinuum claim breakthrough in quantum computing",0.0
2024-04-04,EU antitrust chief Margrethe Vestager may act if Microsoft's poaching of Inflection staff signals wider trend,0.0
2024-04-05,South Africa to investigate Microsoft over cloud computing licensing practices,
2024-04-05,"Apple laid off 600 employees after car, smart screen projects shut shop: report",
2024-04-05,South Africa to investigate Microsoft over cloud computing licensing practices,0.0
2024-04-05,"Apple laid off 600 employees after car, smart screen projects shut shop: report",1.0
2024-04-06,"China may misuse AI to target elections in India, US to boost geopolitical interests: Microsoft",0.0
2024-04-06,Why a near-miss cyberattack put US officials and the tech industry on edge,0.0
2024-04-06,Microsoft says China using AI to sow division in US,0.0
2024-04-06,Why a near-miss cyberattack put US officials and the tech industry on edge,
2024-04-06,Microsoft says China using AI to sow division in US,
2024-04-06,"China may misuse AI to target elections in India, US to boost geopolitical interests: Microsoft",
2024-04-08,Google's contemplated mega deal would prompt new fight with regulators,1.0
2024-04-08,Microsoft to launch AI hub in London,
2024-04-08,Google's contemplated mega deal would prompt new fight with regulators,
2024-04-08,Microsoft to launch AI hub in London,0.0
